Nationality	CharCount
Afghanistan	11
Albania	7
Algeria	7
Angola	6
Antigua & Barbuda	17
Argentina	9
Armenia	7
Aruba	5
Australia	9
Austria	7
Azerbaijan	10
Barbados	8
Belarus	7
Belgium	7
Belize	6
Benin	5
Bermuda	7
Bolivia	7
Bosnia Herzegovina	18
Brazil	6
Bulgaria	8
Burkina Faso	12
Cameroon	8
Canada	6
Cape Verde	10
Central African Rep.	20
Chad	4
Chile	5
China PR	8
Chinese Taipei	14
Colombia	8
Comoros	7
Congo	5
Costa Rica	10
Croatia	7
Cuba	4
Curacao	7
Cyprus	6
Czech Republic	14
DR Congo	8
Denmark	7
Dominican Republic	18
Ecuador	7
Egypt	5
El Salvador	11
England	7
Equatorial Guinea	17
Eritrea	7
Estonia	7
FIFA16_NationName_215	21
FYR Macedonia	13
Faroe Islands	13
Fiji	4
Finland	7
France	6
Gabon	5
Gambia	6
Georgia	7
Germany	7
Ghana	5
Gibraltar	9
Greece	6
Grenada	7
Guam	4
Guatemala	9
Guinea	6
Guinea Bissau	13
Guyana	6
Haiti	5
Honduras	8
Hungary	7
Iceland	7
India	5
Iran	4
Iraq	4
Israel	6
Italy	5
Ivory Coast	11
Jamaica	7
Japan	5
Kazakhstan	10
Kenya	5
Korea DPR	9
Korea Republic	14
Kosovo	6
Kuwait	6
Latvia	6
Lebanon	7
Lesotho	7
Liberia	7
Libya	5
Liechtenstein	13
Lithuania	9
Luxembourg	10
Madagascar	10
Mali	4
Malta	5
Mauritania	10
Mauritius	9
Mexico	6
Moldova	7
Montenegro	10
Montserrat	10
Morocco	7
Mozambique	10
Namibia	7
Netherlands	11
New Zealand	11
Niger	5
Nigeria	7
Northern Ireland	16
Norway	6
Oman	4
Pakistan	8
Palestine	9
Panama	6
Papua New Guinea	16
Paraguay	8
Peru	4
Philippines	11
Poland	6
Portugal	8
Puerto Rico	11
Qatar	5
Republic of Ireland	19
Romania	7
Russia	6
San Marino	10
Saudi Arabia	12
Scotland	8
Senegal	7
Serbia	6
Sierra Leone	12
Slovakia	8
Slovenia	8
Somalia	7
South Africa	12
Spain	5
St Kitts Nevis	14
St Lucia	8
Suriname	8
Sweden	6
Switzerland	11
Syria	5
São Tomé & Príncipe	19
Tanzania	8
Timor-Leste	11
Togo	4
Trinidad & Tobago	17
Tunisia	7
Turkey	6
Uganda	6
Ukraine	7
United States	13
Uruguay	7
Uzbekistan	10
Venezuela	9
Wales	5
Zambia	6
Zimbabwe	8
